NOUN,QUERY,PREDICTIONS,,,,,,,,,
motorcycle,most motorcycles are [MASK].,electric,motorcycles,small,smaller,manual,hybrids,lightweight,amphibious,quieter,sold
blender,most blenders are [MASK].,portable,similar,automatic,flexible,plastic,used,dry,inexpensive,automated,electric
,,,,,,,,,,,
grenade,most grenades are [MASK].,explosive,portable,automatic,homemade,ineffective,empty,fragmentation,lightweight,used,handheld
,,,,,,,,,,,
caterpillar,most caterpillars are [MASK].,nocturnal,green,white,black,aquatic,solitary,female,females,terrestrial,brown
,,,,,,,,,,,
buckle,most buckles are [MASK].,metal,adjustable,threaded,plastic,flat,flexible,brass,metallic,steel,silver
,,,,,,,,,,,
snail,most snails are [MASK].,nocturnal,edible,poisonous,small,predatory,white,green,large,terrestrial,amphibious
,,,,,,,,,,,
moth,most moths are [MASK].,nocturnal,white,green,black,brown,rare,predatory,solitary,small,terrestrial
,,,,,,,,,,,
fox,most foxes are [MASK].,nocturnal,solitary,harmless,white,small,female,poisonous,blind,black,vegetarian
,,,,,,,,,,,
cloak,most cloaks are [MASK].,black,white,dark,green,red,expensive,blue,thick,brown,grey
,,,,,,,,,,,
napkin,most napkins are [MASK].,white,plastic,edible,used,paper,flat,black,dry,yellow,sticky
,,,,,,,,,,,
oriole,most orioles are [MASK].,nocturnal,solitary,white,territorial,black,orioles,gray,shy,terrestrial,brown
,,,,,,,,,,,
shack,most shacks are [MASK].,abandoned,small,empty,closed,wooden,vacant,temporary,old,permanent,deserted
,,,,,,,,,,,
woodpecker,most woodpeckers are [MASK].,nocturnal,solitary,territorial,terrestrial,shy,silent,migratory,small,social,green
,,,,,,,,,,,
pen,most pens are [MASK].,plastic,used,black,portable,automatic,small,expensive,electric,empty,free
,,,,,,,,,,,
basement,most basements are [MASK].,underground,residential,covered,flat,concrete,vaulted,open,subterranean,dry,full
,,,,,,,,,,,
radish,most radishes are [MASK].,white,yellow,green,black,red,edible,purple,sweet,blue,pink
,,,,,,,,,,,
lion,most lions are [MASK].,nocturnal,male,tame,white,female,solitary,blind,aggressive,black,silent
,,,,,,,,,,,
boots,most boots are [MASK].,leather,comfortable,black,uncomfortable,soft,brown,worn,heavy,expensive,not
,,,,,,,,,,,
crowbar,most crowbars are [MASK].,portable,used,homemade,illegal,sharp,lightweight,plastic,small,heavy,adjustable
,,,,,,,,,,,
dress,most dresses are [MASK].,white,black,expensive,pretty,blue,casual,red,plain,simple,green
,,,,,,,,,,,
bison,most bison are [MASK].,nocturnal,horned,polled,female,white,male,tame,vegetarian,large,small
,,,,,,,,,,,
dish,most dishes are [MASK].,vegetarian,fried,seafood,homemade,meat,spicy,delicious,traditional,pork,sweet
,,,,,,,,,,,
rocker,most rockers are [MASK].,white,portable,black,homemade,green,electric,red,closed,blue,older
,,,,,,,,,,,
fridge,most fridges are [MASK].,empty,small,old,full,electric,locked,closed,automated,large,portable
,,,,,,,,,,,
zucchini,most zucchinis are [MASK].,white,green,yellow,black,red,sweet,edible,fresh,delicious,fried
,,,,,,,,,,,
violin,most violins are [MASK].,bowed,electric,wooden,used,acoustic,homemade,plastic,white,hollow,tuned
,,,,,,,,,,,
squid,most squids are [MASK].,nocturnal,predators,small,predatory,solitary,large,parasitic,edible,peaceful,smaller
,,,,,,,,,,,
turtle,most turtles are [MASK].,green,nocturnal,small,large,amphibious,poisonous,aquatic,edible,smaller,terrestrial
,,,,,,,,,,,
willow,most willows are [MASK].,deciduous,evergreen,edible,poisonous,hardy,perennial,hollow,green,small,toxic
,,,,,,,,,,,
rooster,most roosters are [MASK].,black,white,polled,male,red,female,brown,vegetarian,gray,horned
,,,,,,,,,,,
plate,most plates are [MASK].,black,flat,rectangular,white,blue,silver,painted,plain,green,circular
,,,,,,,,,,,
housefly,most houseflies are [MASK].,nocturnal,predatory,solitary,parasitic,females,harmless,predators,female,black,social
,,,,,,,,,,,
prune,most prunes are [MASK].,edible,green,white,poisonous,yellow,black,red,sweet,bitter,fresh
,,,,,,,,,,,
parka,most parkas are [MASK].,white,black,blue,green,red,worn,yellow,optional,grey,brown
,,,,,,,,,,,
stick,most sticks are [MASK].,wooden,hollow,sharp,edible,black,used,green,flat,short,plastic
,,,,,,,,,,,
tape,most tapes are [MASK].,rare,identical,blank,homemade,analog,lost,digital,old,expensive,available
,,,,,,,,,,,
mouse,most mice are [MASK].,nocturnal,solitary,vegetarian,blind,harmless,sterile,male,small,female,white
,,,,,,,,,,,
raspberry,most raspberries are [MASK].,edible,poisonous,white,black,yellow,green,toxic,red,sweet,bitter
,,,,,,,,,,,
projector,most projectors are [MASK].,portable,digital,handheld,electronic,automatic,manual,analog,electric,plastic,automated
,,,,,,,,,,,
slingshot,most slingshots are [MASK].,inaccurate,accurate,explosive,handheld,short,ineffective,portable,automatic,small,deadly
,,,,,,,,,,,
grasshopper,most grasshoppers are [MASK].,nocturnal,terrestrial,solitary,predatory,parasitic,aquatic,small,mimic,green,winged
,,,,,,,,,,,
cockroach,most cockroaches are [MASK].,nocturnal,poisonous,solitary,harmless,edible,parasitic,terrestrial,small,vegetarian,predatory
,,,,,,,,,,,
gun,most guns are [MASK].,automatic,useless,obsolete,heavy,small,old,loaded,empty,illegal,cheap
,,,,,,,,,,,
cushion,most cushions are [MASK].,soft,edible,flat,plastic,artificial,used,green,adjustable,leather,white
,,,,,,,,,,,
oak,most oaks are [MASK].,deciduous,evergreen,barren,tall,white,dead,rare,small,oak,large
,,,,,,,,,,,
strainer,most strainers are [MASK].,portable,adjustable,automatic,plastic,hollow,flexible,closed,flat,used,manual
,,,,,,,,,,,
mixer,most mixers are [MASK].,portable,electric,similar,used,homemade,plastic,dry,inexpensive,automatic,available
,,,,,,,,,,,
jeans,most jeans are [MASK].,black,tight,worn,blue,ripped,comfortable,not,white,expensive,torn
,,,,,,,,,,,
bed,most beds are [MASK].,empty,wooden,covered,single,made,unused,open,comfortable,bare,bunk
,,,,,,,,,,,
truck,most trucks are [MASK].,trucks,heavy,smaller,unmarked,small,electric,light,amphibious,trailers,articulated
,,,,,,,,,,,
bullet,most bullets are [MASK].,silver,poisonous,useless,plastic,spent,empty,heavy,explosive,lethal,hollow
,,,,,,,,,,,
iguana,most iguanas are [MASK].,nocturnal,amphibious,solitary,green,terrestrial,white,small,edible,poisonous,aquatic
,,,,,,,,,,,
stone,most stones are [MASK].,hollow,granite,black,smooth,large,flat,grey,small,broken,dry
,,,,,,,,,,,
beaver,most beavers are [MASK].,nocturnal,migratory,solitary,vegetarian,small,large,smaller,larger,shy,white
,,,,,,,,,,,
nectarine,most nectarines are [MASK].,edible,nectar,poisonous,green,toxic,white,bisexual,similar,nocturnal,yellow
,,,,,,,,,,,
table,most tables are [MASK].,empty,covered,small,occupied,full,closed,wooden,large,bare,round
,,,,,,,,,,,
carrot,most carrots are [MASK].,green,edible,poisonous,white,yellow,black,red,eaten,vegetarian,bitter
,,,,,,,,,,,
cigar,most cigars are [MASK].,black,white,dry,homemade,smoked,brown,stale,green,expensive,red
,,,,,,,,,,,
escalator,most escalators are [MASK].,underground,closed,free,covered,accessible,automatic,elevated,enclosed,overhead,automated
,,,,,,,,,,,
cello,most cellos are [MASK].,bowed,electric,acoustic,hollow,homemade,white,wooden,used,plastic,tuned
,,,,,,,,,,,
lobster,most lobsters are [MASK].,edible,poisonous,nocturnal,green,predatory,parasitic,vegetarian,white,toxic,aquatic
,,,,,,,,,,,
clock,most clocks are [MASK].,analog,accurate,automatic,mechanical,digital,electronic,analogue,quartz,automated,portable
,,,,,,,,,,,
pin,most pins are [MASK].,flat,plastic,black,round,adjustable,missing,threaded,hollow,silver,wooden
,,,,,,,,,,,
microwave,most microwaves are [MASK].,portable,microwave,passive,inexpensive,expensive,electric,faster,analog,small,smaller
,,,,,,,,,,,
stereo,most stereos are [MASK].,portable,analog,electric,silent,expensive,digital,inexpensive,electronic,similar,acoustic
,,,,,,,,,,,
python,most pythons are [MASK].,free,portable,modular,flexible,static,programmers,functional,binary,silent,unrelated
,,,,,,,,,,,
scooter,most scooters are [MASK].,electric,motorized,lightweight,portable,small,smaller,amphibious,wheeled,wheels,manual
,,,,,,,,,,,
toaster,most toasters are [MASK].,electric,flat,automatic,plastic,portable,used,electrical,aluminum,older,similar
,,,,,,,,,,,
coconut,most coconuts are [MASK].,edible,green,poisonous,eaten,white,black,yellow,toxic,fresh,red
,,,,,,,,,,,
helicopter,most helicopters are [MASK].,unmanned,amphibious,military,small,unarmed,smaller,homemade,helicopters,tracked,autonomous
,,,,,,,,,,,
board,most boards are [MASK].,flat,wooden,closed,black,white,blank,green,covered,open,portable
,,,,,,,,,,,
sandpaper,most sandpapers are [MASK].,durable,white,sticky,dry,black,flexible,brittle,plastic,sharp,hard
,,,,,,,,,,,
cedar,most cedars are [MASK].,deciduous,evergreen,barren,rare,white,hollow,edible,dead,black,tall
,,,,,,,,,,,
gloves,most gloves are [MASK].,plastic,optional,white,leather,black,rubber,used,worn,lightweight,metal
,,,,,,,,,,,
thimble,most thimbles are [MASK].,edible,green,white,black,small,poisonous,yellow,red,smaller,hollow
,,,,,,,,,,,
rock,most rocks are [MASK].,hard,smooth,black,volcanic,soft,granite,sedimentary,flat,white,solid
,,,,,,,,,,,
chair,most chairs are [MASK].,empty,occupied,comfortable,uncomfortable,wooden,taken,used,broken,leather,full
,,,,,,,,,,,
trout,most trouts are [MASK].,nocturnal,small,common,brown,edible,black,brook,rare,white,migratory
,,,,,,,,,,,
beans,most beans are [MASK].,green,edible,black,roasted,eaten,white,yellow,red,dried,exported
,,,,,,,,,,,
cantaloupe,most cantaloupes are [MASK].,vegetarian,edible,green,white,fried,black,homemade,dry,roasted,spicy
,,,,,,,,,,,
grater,most graters are [MASK].,plastic,hollow,portable,flat,wooden,metal,small,homemade,black,cylindrical
,,,,,,,,,,,
coyote,most coyotes are [MASK].,nocturnal,aggressive,tame,harmless,solitary,territorial,shy,silent,vegetarian,male
,,,,,,,,,,,
banner,most banners are [MASK].,red,white,black,green,yellow,painted,blue,missing,old,gone
,,,,,,,,,,,
emu,most emus are [MASK].,white,yellow,blue,green,red,unmarked,black,older,electric,articulated
,,,,,,,,,,,
cabin,most cabins are [MASK].,closed,wooden,open,accessible,private,rented,covered,furnished,small,cabins
,,,,,,,,,,,
eggplant,most eggplants are [MASK].,edible,green,white,poisonous,yellow,sterile,toxic,vegetarian,aquatic,perennial
,,,,,,,,,,,
skirt,most skirts are [MASK].,short,shorter,long,longer,black,white,flared,optional,loose,tight
,,,,,,,,,,,
hyena,most hyenas are [MASK].,nocturnal,solitary,white,male,shy,vegetarian,female,gray,blind,males
,,,,,,,,,,,
kite,most kites are [MASK].,homemade,electric,powered,small,lightweight,portable,smaller,wooden,heavy,motorized
,,,,,,,,,,,
bench,most benches are [MASK].,wooden,covered,benches,concrete,plastic,empty,wood,temporary,metal,portable
,,,,,,,,,,,
hamster,most hamsters are [MASK].,nocturnal,solitary,small,blind,vegetarian,male,shy,harmless,female,white
,,,,,,,,,,,
crayon,most crayons are [MASK].,black,white,green,yellow,red,colored,blue,edible,plastic,brown
,,,,,,,,,,,
pan,most pans are [MASK].,hollow,wooden,flat,black,plastic,metal,portable,aluminum,cylindrical,aluminium
,,,,,,,,,,,
walnut,most walnuts are [MASK].,edible,black,green,white,poisonous,eaten,red,roasted,brown,yellow
,,,,,,,,,,,
hammer,most hammers are [MASK].,hollow,wooden,lightweight,steel,heavy,metal,small,portable,curved,used
,,,,,,,,,,,
van,most vans are [MASK].,white,unmarked,black,yellow,blue,older,red,smaller,used,green
,,,,,,,,,,,
leotards,most leotards are [MASK].,white,black,green,short,flexible,yellow,blue,edible,small,flat
,,,,,,,,,,,
wagon,most wagons are [MASK].,wooden,older,smaller,covered,larger,white,rare,longer,small,similar
,,,,,,,,,,,
hoe,most hoes are [MASK].,white,black,male,female,women,green,males,portable,small,homemade
,,,,,,,,,,,
crocodile,most crocodiles are [MASK].,nocturnal,large,harmless,smaller,poisonous,small,amphibious,larger,aquatic,vegetarian
,,,,,,,,,,,
bridge,most bridges are [MASK].,covered,wooden,concrete,suspension,arch,closed,permanent,listed,arched,pedestrian
,,,,,,,,,,,
keyboard,most keyboards are [MASK].,analog,manual,similar,portable,identical,compatible,standard,midi,keyboards,small
,,,,,,,,,,,
earmuffs,most earmuffs are [MASK].,plastic,black,white,metal,leather,used,optional,worn,closed,missing
,,,,,,,,,,,
harpsichord,most harpsichords are [MASK].,manual,pedal,baroque,mechanical,playable,portable,smaller,rare,electric,antique
,,,,,,,,,,,
harp,most harps are [MASK].,bowed,plucked,acoustic,wooden,homemade,hollow,electric,tubular,small,tuned
,,,,,,,,,,,
brick,most bricks are [MASK].,red,yellow,white,brick,black,concrete,hollow,glazed,bricks,adobe
,,,,,,,,,,,
turnip,most turnips are [MASK].,edible,green,white,yellow,poisonous,black,red,hardy,wild,dry
,,,,,,,,,,,
hatchet,most hatchets are [MASK].,wooden,hollow,small,used,sharp,edible,large,smaller,homemade,portable
,,,,,,,,,,,
pig,most pigs are [MASK].,polled,white,vegetarian,black,domestic,horned,male,exported,female,meat
,,,,,,,,,,,
harpoon,most harpoons are [MASK].,hollow,bladed,smaller,small,lightweight,short,wooden,sharp,curved,longer
,,,,,,,,,,,
eagle,most eagles are [MASK].,nocturnal,white,black,female,male,solitary,gray,brown,silent,migratory
,,,,,,,,,,,
sweater,most sweaters are [MASK].,wool,green,white,black,lightweight,comfortable,blue,brown,red,soft
,,,,,,,,,,,
bathtub,most bathtubs are [MASK].,portable,plastic,large,small,smaller,porcelain,closed,empty,larger,heated
,,,,,,,,,,,
pepper,most pepper are [MASK].,black,edible,yellow,bitter,green,spicy,poisonous,white,red,dried
,,,,,,,,,,,
bureau,most bureaux are [MASK].,closed,small,private,free,bilingual,open,independent,female,male,staffed
,,,,,,,,,,,
fork,most forks are [MASK].,sharp,used,small,short,curved,flat,plastic,adjustable,broken,hollow
,,,,,,,,,,,
mirror,most mirrors are [MASK].,opaque,flat,expensive,plastic,black,transparent,round,curved,portable,adjustable
,,,,,,,,,,,
mole,most moles are [MASK].,white,black,small,brown,yellow,nocturnal,large,red,smaller,male
,,,,,,,,,,,
rocket,most rockets are [MASK].,smaller,small,homemade,unmanned,mobile,rockets,portable,hollow,nuclear,larger
,,,,,,,,,,,
cheetah,most cheetahs are [MASK].,nocturnal,solitary,male,white,males,vegetarian,female,small,tame,smaller
,,,,,,,,,,,
cage,most cages are [MASK].,empty,open,closed,locked,wooden,large,small,portable,used,full
,,,,,,,,,,,
medal,most medals are [MASK].,unofficial,gold,bronze,silver,official,retired,honorary,awarded,contested,white
,,,,,,,,,,,
wheel,most wheels are [MASK].,steel,wooden,hollow,metal,small,iron,flat,plastic,large,smaller
,,,,,,,,,,,
typewriter,most typewriters are [MASK].,manual,obsolete,older,mechanical,portable,electrical,automatic,inexpensive,electric,analog
,,,,,,,,,,,
toad,most toads are [MASK].,nocturnal,poisonous,small,aquatic,harmless,terrestrial,smaller,large,edible,amphibious
,,,,,,,,,,,
avocado,most avocados are [MASK].,edible,green,black,white,yellow,poisonous,vegetarian,red,orange,dry
,,,,,,,,,,,
car,most cars are [MASK].,electric,older,used,small,green,white,black,blue,red,yellow
,,,,,,,,,,,
curtains,most curtains are [MASK].,closed,drawn,open,white,gone,black,red,blue,green,shut
,,,,,,,,,,,
walrus,most walrus are [MASK].,nocturnal,white,vegetarian,solitary,migratory,polled,black,shy,gray,male
,,,,,,,,,,,
garlic,most garlics are [MASK].,edible,poisonous,bitter,green,yellow,black,white,toxic,aromatic,spicy
,,,,,,,,,,,
pie,most pies are [MASK].,baked,fried,vegetarian,white,homemade,sweet,similar,meat,green,boiled
,,,,,,,,,,,
bookcase,most bookcases are [MASK].,closed,empty,open,wooden,oak,small,bare,metal,locked,tall
,,,,,,,,,,,
lamp,most lamps are [MASK].,electric,fluorescent,black,portable,red,green,lit,yellow,gas,white
,,,,,,,,,,,
sofa,most sofas are [MASK].,leather,comfortable,white,green,red,beige,black,uncomfortable,blue,used
,,,,,,,,,,,
robin,most robins are [MASK].,white,nocturnal,black,solitary,green,brown,territorial,blue,shy,female
,,,,,,,,,,,
bagpipe,most bagpipes are [MASK].,bowed,homemade,plucked,wooden,used,tuned,acoustic,smaller,strung,small
,,,,,,,,,,,
wall,most walls are [MASK].,brick,bare,white,glass,concrete,stone,solid,plastered,blank,painted
,,,,,,,,,,,
raccoon,most raccoons are [MASK].,nocturnal,solitary,white,harmless,vegetarian,poisonous,male,blind,silent,female
,,,,,,,,,,,
bolts,most bolts are [MASK].,hollow,heavy,threaded,wooden,flat,locked,steel,solid,used,missing
,,,,,,,,,,,
skyscraper,most skyscrapers are [MASK].,residential,tall,taller,underground,glass,older,concrete,modern,green,newer
,,,,,,,,,,,
biscuit,most biscuits are [MASK].,vegetarian,edible,sweet,dry,green,fried,white,homemade,bitter,stale
,,,,,,,,,,,
ship,most ships are [MASK].,smaller,small,large,obsolete,fast,larger,slow,older,unarmed,decommissioned
,,,,,,,,,,,
tricycle,most tricycles are [MASK].,rigid,amphibious,electric,articulated,motorized,powered,bicycles,wheels,motorcycles,wheeled
,,,,,,,,,,,
salmon,most salmon are [MASK].,edible,white,black,caught,wild,vegetarian,green,yellow,small,grey
,,,,,,,,,,,
candle,most candles are [MASK].,lit,black,white,red,yellow,scented,used,melted,blue,green
,,,,,,,,,,,
lamb,most lambs are [MASK].,white,polled,black,vegetarian,horned,brown,red,milk,meat,beef
,,,,,,,,,,,
screwdriver,most screwdrivers are [MASK].,threaded,used,flexible,plastic,hollow,metal,adjustable,portable,obsolete,lightweight
,,,,,,,,,,,
surfboard,most surfboards are [MASK].,aluminum,lightweight,plastic,homemade,folding,aluminium,portable,steel,wooden,adjustable
,,,,,,,,,,,
radio,most radios are [MASK].,portable,digital,free,fm,expensive,amateur,handheld,amateurs,homemade,analog
,,,,,,,,,,,
buggy,most buggies are [MASK].,amphibious,electric,smaller,small,homemade,lightweight,tracked,motorized,portable,larger
,,,,,,,,,,,
blouse,most blouses are [MASK].,white,blue,black,red,green,yellow,pink,silk,plain,casual
,,,,,,,,,,,
pelican,most pelicans are [MASK].,white,nocturnal,large,black,small,solitary,smaller,larger,amphibious,male
,,,,,,,,,,,
canary,most canaries are [MASK].,white,migratory,black,vegetarian,nocturnal,bilingual,fishermen,green,tropical,small
,,,,,,,,,,,
robe,most robes are [MASK].,black,white,red,green,blue,brown,worn,yellow,silk,grey
,,,,,,,,,,,
drapes,most drapes are [MASK].,closed,white,black,red,green,blue,open,heavy,gone,hung
,,,,,,,,,,,
camisole,most camisoles are [MASK].,white,optional,black,short,lace,elastic,loose,silk,long,transparent
,,,,,,,,,,,
jet,most jets are [MASK].,small,smaller,fast,slow,faster,larger,large,amphibious,short,noisy
,,,,,,,,,,,
penguin,most penguins are [MASK].,nocturnal,solitary,migratory,white,shy,territorial,vegetarian,male,predators,terrestrial
,,,,,,,,,,,
pear,most pears are [MASK].,edible,white,green,poisonous,yellow,black,red,sterile,purple,small
,,,,,,,,,,,
spoon,most spoons are [MASK].,plastic,wooden,hollow,used,small,metal,flat,silver,edible,empty
,,,,,,,,,,,
tent,most tents are [MASK].,seasonal,covered,permanent,open,portable,brown,underground,green,round,temporary
,,,,,,,,,,,
bedroom,most bedrooms are [MASK].,empty,small,furnished,upstairs,occupied,large,smaller,open,rented,bare
,,,,,,,,,,,
pliers,most pliers are [MASK].,sharp,used,useless,plastic,manual,expensive,small,heavy,short,metal
,,,,,,,,,,,
alligator,most alligators are [MASK].,nocturnal,harmless,poisonous,smaller,edible,small,large,aquatic,larger,amphibious
,,,,,,,,,,,
crane,most cranes are [MASK].,nocturnal,white,migratory,black,solitary,large,small,larger,vegetarian,smaller
,,,,,,,,,,,
church,most churches are [MASK].,catholic,small,evangelical,wooden,old,protestant,orthodox,abandoned,smaller,older
,,,,,,,,,,,
partridge,most partridges are [MASK].,nocturnal,edible,black,white,small,green,vegetarian,polled,smaller,terrestrial
,,,,,,,,,,,
elevator,most elevators are [MASK].,underground,closed,electric,covered,free,private,accessible,manual,automated,automatic
,,,,,,,,,,,
wrench,most wrenches are [MASK].,adjustable,plastic,threaded,used,heavy,hollow,steel,lightweight,sharp,flat
,,,,,,,,,,,
sword,most swords are [MASK].,short,sharp,wooden,curved,long,metal,bladed,small,steel,longer
,,,,,,,,,,,
groundhog,most groundhogs are [MASK].,nocturnal,solitary,vegetarian,black,white,terrestrial,large,small,smaller,larger
,,,,,,,,,,,
ostrich,most ostriches are [MASK].,white,black,polled,nocturnal,horned,brown,small,male,gray,large
,,,,,,,,,,,
chain,most chains are [MASK].,short,flexible,long,broken,longer,rigid,heavy,straight,flat,thin
,,,,,,,,,,,
ball,most balls are [MASK].,spherical,flat,black,round,hollow,wooden,small,white,green,large
,,,,,,,,,,,
bull,most bulls are [MASK].,white,polled,black,female,male,horned,tame,large,bald,brown
,,,,,,,,,,,
jeep,most jeeps are [MASK].,smaller,small,older,electric,unmarked,used,red,black,fast,amphibious
,,,,,,,,,,,
horse,most horses are [MASK].,polled,white,black,horned,small,lame,bred,grey,gray,chestnut
,,,,,,,,,,,
clarinet,most clarinets are [MASK].,bowed,homemade,electric,tuned,used,plucked,brass,manual,acoustic,bass
,,,,,,,,,,,
bag,most bags are [MASK].,empty,small,plastic,heavy,full,dry,filled,large,packed,smaller
,,,,,,,,,,,
spider,most spiders are [MASK].,nocturnal,solitary,small,predatory,green,poisonous,large,predators,edible,terrestrial
,,,,,,,,,,,
pillow,most pillows are [MASK].,soft,comfortable,used,flat,adjustable,green,plastic,white,uncomfortable,leather
,,,,,,,,,,,
raven,most ravens are [MASK].,nocturnal,solitary,white,territorial,black,male,shy,female,silent,tame
,,,,,,,,,,,
submarine,most submarines are [MASK].,smaller,small,fast,nuclear,amphibious,obsolete,larger,large,unarmed,submarines
,,,,,,,,,,,
spatula,most spatulas are [MASK].,sharp,flat,hollow,used,small,curved,edible,plastic,metal,bladed
,,,,,,,,,,,
beets,most beets are [MASK].,green,edible,white,yellow,black,sweet,poisonous,red,dry,roasted
,,,,,,,,,,,
tiger,most tigers are [MASK].,nocturnal,white,tame,female,male,shy,solitary,black,harmless,small
,,,,,,,,,,,
vine,most vines are [MASK].,edible,poisonous,woody,perennial,green,sterile,white,hardy,climbing,toxic
,,,,,,,,,,,
starling,most starlings are [MASK].,small,white,male,shy,stupid,female,peaceful,blind,lazy,quiet
,,,,,,,,,,,
tortoise,most tortoises are [MASK].,nocturnal,small,smaller,poisonous,large,solitary,terrestrial,black,green,edible
,,,,,,,,,,,
sledgehammer,most sledgehammers are [MASK].,homemade,metal,portable,plastic,wooden,explosive,heavy,lightweight,used,bladed
,,,,,,,,,,,
freezer,most freezers are [MASK].,automated,closed,portable,automatic,open,sealed,electric,empty,manual,locked
,,,,,,,,,,,
magazine,most magazines are [MASK].,free,bilingual,online,english,monthly,small,available,french,published,popular
,,,,,,,,,,,
skis,most skis are [MASK].,plastic,lightweight,optional,used,homemade,adjustable,folding,wooden,synthetic,hollow
,,,,,,,,,,,
urn,most urns are [MASK].,hollow,empty,rectangular,decorated,circular,small,smaller,large,flat,white
,,,,,,,,,,,
trumpet,most trumpets are [MASK].,blown,brass,used,hollow,bowed,black,small,closed,homemade,tuned
,,,,,,,,,,,
zebra,most zebras are [MASK].,white,nocturnal,polled,black,vegetarian,gray,horned,male,solitary,female
,,,,,,,,,,,
shed,most sheds are [MASK].,open,covered,wooden,closed,brick,enclosed,small,roofed,gabled,modern
,,,,,,,,,,,
wasp,most wasps are [MASK].,nocturnal,solitary,parasitic,predatory,territorial,queens,social,female,colonial,sterile
,,,,,,,,,,,
swimsuit,most swimsuits are [MASK].,optional,lightweight,elastic,white,comfortable,casual,black,plastic,expensive,legal
,,,,,,,,,,,
chisel,most chisels are [MASK].,hollow,sharp,small,curved,flat,steel,metal,wooden,plastic,used
,,,,,,,,,,,
toy,most toys are [MASK].,plastic,homemade,portable,wooden,expensive,small,inexpensive,rare,stuffed,paper
,,,,,,,,,,,
bluejay,most bluejays are [MASK].,nocturnal,white,solitary,black,territorial,shy,brown,female,migratory,male
,,,,,,,,,,,
anchor,most anchors are [MASK].,wooden,steel,portable,plastic,aluminum,metal,fixed,flat,lightweight,hollow
,,,,,,,,,,,
shawl,most shawls are [MASK].,white,black,woven,silk,green,embroidered,wool,blue,cotton,homemade
,,,,,,,,,,,
elephant,most elephants are [MASK].,nocturnal,white,tame,male,vegetarian,large,black,female,small,solitary
,,,,,,,,,,,
pants,most pants are [MASK].,black,loose,tight,white,blue,not,worn,short,torn,leather
,,,,,,,,,,,
sandals,most sandals are [MASK].,leather,black,white,plastic,wooden,flat,brown,worn,comfortable,optional
,,,,,,,,,,,
bouquet,most bouquets are [MASK].,seasonal,white,yellow,red,floral,artificial,pink,similar,sweet,colorful
,,,,,,,,,,,
skateboard,most skateboards are [MASK].,plastic,homemade,portable,aluminum,wooden,black,lightweight,electric,metal,folding
,,,,,,,,,,,
dishwasher,most dishwashers are [MASK].,automated,manual,automatic,electric,portable,electrical,used,mechanical,small,homemade
,,,,,,,,,,,
calf,most calves are [MASK].,female,white,polled,male,females,males,born,black,vegetarian,horned
,,,,,,,,,,,
closet,most closets are [MASK].,empty,closed,locked,small,open,bare,dark,large,tiny,old
,,,,,,,,,,,
ashtray,most ashtrays are [MASK].,portable,plastic,empty,small,hollow,used,electric,metal,cylindrical,aluminum
,,,,,,,,,,,
plug,most plugs are [MASK].,plastic,flexible,threaded,electrical,portable,permanent,electric,aluminum,solid,ceramic
,,,,,,,,,,,
baton,most batons are [MASK].,wooden,used,portable,bladed,short,plastic,electric,sharp,metal,explosive
,,,,,,,,,,,
guppy,most guppies are [MASK].,white,male,black,vegetarian,males,female,green,nocturnal,blue,shy
,,,,,,,,,,,
house,most houses are [MASK].,detached,small,older,rented,residential,large,inhabited,smaller,white,brick
,,,,,,,,,,,
knife,most knives are [MASK].,sharp,small,short,curved,long,dull,thin,bladed,longer,plastic
,,,,,,,,,,,
saxophone,most saxophones are [MASK].,electric,bowed,homemade,tuned,acoustic,blown,soprano,discontinued,used,smaller
,,,,,,,,,,,
marble,most marbles are [MASK].,black,white,blue,green,red,hollow,pink,rare,yellow,flat
,,,,,,,,,,,
falcon,most falcons are [MASK].,nocturnal,black,smaller,male,white,female,large,small,larger,tame
,,,,,,,,,,,
sled,most sleds are [MASK].,portable,motorized,wheeled,lightweight,powered,tracked,amphibious,electric,wooden,towed
,,,,,,,,,,,
jar,most jars are [MASK].,empty,hollow,open,sealed,filled,small,large,glass,broken,black
,,,,,,,,,,,
peas,most peas are [MASK].,edible,green,poisonous,white,yellow,black,toxic,red,dry,vegetarian
,,,,,,,,,,,
tongs,most tongs are [MASK].,hollow,wooden,flat,curved,small,metal,ornamental,used,decorative,sharp
,,,,,,,,,,,
trousers,most trousers are [MASK].,black,white,short,blue,long,brown,loose,worn,green,tight
,,,,,,,,,,,
basket,most baskets are [MASK].,woven,small,wooden,decorated,white,large,homemade,plastic,portable,covered
,,,,,,,,,,,
cauliflower,most cauliflowers are [MASK].,edible,poisonous,bisexual,yellow,perennial,green,white,toxic,sterile,annual
,,,,,,,,,,,
platypus,most platypuses are [MASK].,nocturnal,terrestrial,small,solitary,large,vegetarian,smaller,blind,amphibious,shy
,,,,,,,,,,,
thermometer,most thermometers are [MASK].,portable,electronic,accurate,automatic,adjustable,analog,electric,digital,magnetic,mechanical
,,,,,,,,,,,
drain,most drains are [MASK].,underground,open,paved,private,dry,concrete,small,public,covered,natural
,,,,,,,,,,,
bucket,most buckets are [MASK].,empty,full,filled,used,plastic,small,large,open,wooden,dry
,,,,,,,,,,,
oven,most ovens are [MASK].,portable,electric,automated,automatic,manual,electrical,gas,closed,microwave,modern
,,,,,,,,,,,
